experiment,metric,value
A,explicit_correct,true
A,name_derived_baseline_correct,false
B,persistence_failure_atomic,true
B,retry_recovered,true
C,idempotent_unique_persisted_runs_after_restart,1
C,restart_preserved_idempotency,true
C,contract_outcome_stable_across_seeds,true
C,same_seed_report_stable,true
D:questionnaire-basic,comparable_pairs,12
D:questionnaire-basic,outcome_improved_pairs,0
D:questionnaire-basic,baseline_p50_ns,390400
D:questionnaire-basic,flexible_p50_ns,1320800
D:questionnaire-dynamic-field,comparable_pairs,12
D:questionnaire-dynamic-field,outcome_improved_pairs,12
D:questionnaire-dynamic-field,baseline_p50_ns,499200
D:questionnaire-dynamic-field,flexible_p50_ns,1166800
D:questionnaire-knowledge-graph,comparable_pairs,12
D:questionnaire-knowledge-graph,outcome_improved_pairs,0
D:questionnaire-knowledge-graph,baseline_p50_ns,365100
D:questionnaire-knowledge-graph,flexible_p50_ns,1253400
E,comparable_pairs,36
E,baseline_passed,12
E,flexible_passed,36
E,adaptation_gain_pairs,24
E,adaptation_gain_rate,0.6666666666666666
E,evidence_complete_pairs,36
E:interview-dynamic-field,schema_migration_observations,0
E:interview-dynamic-field,outcome_improved_pairs,12
E:interview-dynamic-field,baseline_pass_rate,0.0
E:interview-dynamic-field,flexible_pass_rate,1.0
E:interview-dynamic-field,adaptation_gain_rate,1.0
E:interview-field-rename,schema_migration_observations,12
E:interview-field-rename,outcome_improved_pairs,12
E:interview-field-rename,baseline_pass_rate,0.0
E:interview-field-rename,flexible_pass_rate,1.0
E:interview-field-rename,adaptation_gain_rate,1.0
E:questionnaire-dynamic-graph,schema_migration_observations,0
E:questionnaire-dynamic-graph,outcome_improved_pairs,0
E:questionnaire-dynamic-graph,baseline_pass_rate,1.0
E:questionnaire-dynamic-graph,flexible_pass_rate,1.0
E:questionnaire-dynamic-graph,adaptation_gain_rate,0.0
