case_id,capability,scenario,request_shape,expected_behavior,spec_basis
C-01,questionnaire-query,normal,subject_id=subject-001,SUCCESS,RECONSTRUCTED_BEHAVIOR
C-02,questionnaire-query,null,subject_id=null,EMPTY_OR_ALL_BY_POLICY,RECONSTRUCTED_BEHAVIOR
C-03,questionnaire-query,compatibility,legacy_subject_id=subject-001,COMPATIBLE_SUCCESS,RECONSTRUCTED_BEHAVIOR
C-04,questionnaire-query,invalid,subject_id=!invalid,INVALID_INPUT,RECONSTRUCTED_BEHAVIOR
C-05,subject-questionnaire-query,normal,subject_id=subject-001,SUCCESS,RECONSTRUCTED_BEHAVIOR
C-06,subject-questionnaire-query,null,subject_id=null,EMPTY_OR_ALL_BY_POLICY,RECONSTRUCTED_BEHAVIOR
C-07,subject-questionnaire-query,compatibility,legacy_subject_id=subject-001,COMPATIBLE_SUCCESS,RECONSTRUCTED_BEHAVIOR
C-08,subject-questionnaire-query,invalid,subject_id=!invalid,INVALID_INPUT,RECONSTRUCTED_BEHAVIOR
C-09,linkage-config-query,normal,questionnaire_id=q-001,SUCCESS,RECONSTRUCTED_BEHAVIOR
C-10,linkage-config-query,null,questionnaire_id=null,NOT_FOUND,RECONSTRUCTED_BEHAVIOR
C-11,linkage-config-query,compatibility,legacy_questionnaire_id=q-001,COMPATIBLE_SUCCESS,RECONSTRUCTED_BEHAVIOR
C-12,linkage-config-query,invalid,questionnaire_id=!invalid,INVALID_INPUT,RECONSTRUCTED_BEHAVIOR
C-13,linkage-config-save,normal,questionnaire_id=q-001;config=v1,SUCCESS,RECONSTRUCTED_BEHAVIOR
C-14,linkage-config-save,null,questionnaire_id=null;config=v1,INVALID_INPUT,RECONSTRUCTED_BEHAVIOR
C-15,linkage-config-save,compatibility,legacy_questionnaire_id=q-001;config=v1,COMPATIBLE_SUCCESS,RECONSTRUCTED_BEHAVIOR
C-16,linkage-config-save,invalid,questionnaire_id=!invalid;config=v1,INVALID_INPUT,RECONSTRUCTED_BEHAVIOR
C-17,interview-session-detail,normal,questionnaire_id=q-001,SUCCESS,RECONSTRUCTED_BEHAVIOR
C-18,interview-session-detail,null,questionnaire_id=null,NOT_FOUND,RECONSTRUCTED_BEHAVIOR
C-19,interview-session-detail,compatibility,legacy_questionnaire_id=q-001,COMPATIBLE_SUCCESS,RECONSTRUCTED_BEHAVIOR
C-20,interview-session-detail,invalid,questionnaire_id=!invalid,INVALID_INPUT,RECONSTRUCTED_BEHAVIOR
